Division,District,Name,Population20,Quintile,HCR Upper (%),Standard Error (%)
Chattogram Division,Chattogram District,Lohagara,318359,Low ,13.2,3.5
Chattogram Division,Chattogram District,Mirsarai,458898,High ,25,3.9
Chattogram Division,Chattogram District,Pahartali,184488,Very Low ,8.4,2.3
Chattogram Division,Chattogram District,Panchlaish,199014,Very Low ,1.6,1.9
Chattogram Division,Chattogram District,Patiya,387531,Low ,12.5,3
Chattogram Division,Chattogram District,Patenga,155542,Very Low ,4.3,1.8
Chattogram Division,Chattogram District,Rangunia,382940,Very Low ,4.1,3.1
Chattogram Division,Chattogram District,Raozan,383740,Low ,9.8,5.3
Chattogram Division,Chattogram District,Sadarghat,102931,Very Low ,3.7,2.1
Chattogram Division,Chattogram District,Sandwip,324425,Low ,10.8,3.5
Chattogram Division,Chattogram District,Satkania,440129,Low ,14.1,7.3
Chattogram Division,Chattogram District,Sitakunda,439732,Very Low ,5.3,3
Chattogram Division,Cumilla District,Barura,443946,Very High ,28.4,3.7
Chattogram Division,Cumilla District,Brahmanpara,228514,Moderate ,15.9,10.1
Chattogram Division,Cumilla District,Burichang,339299,High ,21.5,3.5
Chattogram Division,Cumilla District,Chandina,387382,Moderate ,15.2,11
Chattogram Division,Cumilla District,Chauddagram,492696,Low ,12.3,3.4
Chattogram Division,Cumilla District,Sadar Dakkhin,319134,Very Low ,6,2.4
Chattogram Division,Cumilla District,Daudkandi,386757,Low ,14.8,10.4
Chattogram Division,Cumilla District,Debidwar,459951,Very Low ,6.1,2.8
Chattogram Division,Cumilla District,Homna,222303,Moderate ,18.1,10.6
Chattogram Division,Cumilla District,Adarsha Sadar,629199,Very Low ,7,1.8
Chattogram Division,Cumilla District,Laksam,324287,Moderate ,16.3,12
Chattogram Division,Cumilla District,Lalmai,211912,Low ,10.3,2.9
Chattogram Division,Cumilla District,Manoharganj,270903,Moderate ,16.1,10.9
Chattogram Division,Cumilla District,Meghna,116211,Moderate ,17.5,13.6
Chattogram Division,Cumilla District,Muradnagar,565030,Very Low ,9.3,3.9
Chattogram Division,Cumilla District,Nangalkot,420035,Low ,10.1,3.3
Chattogram Division,Cumilla District,Titas,199621,Moderate ,15.4,12.9
Chattogram Division,Cox's Bazar District,Chakaria,557613,Very High ,43.3,4.2
Chattogram Division,Cox's Bazar District,Cox's Bazar Sadar,389067,Low ,10.3,4.6
Chattogram Division,Cox's Bazar District,Eidgaon,146687,Low ,11.7,5.1
Chattogram Division,Cox's Bazar District,Kutubdia,142012,Very High ,31.9,13.5
Chattogram Division,Cox's Bazar District,Maheshkhali,381522,Very High ,32.7,15.8
Chattogram Division,Cox's Bazar District,Pekua,210325,High ,25.5,4.9
Chattogram Division,Cox's Bazar District,Ramu,326071,Very High ,30.3,15.8
Chattogram Division,Cox's Bazar District,Teknaf,328551,High ,21.2,5.6
Chattogram Division,Cox's Bazar District,Ukhia,258313,High ,27.4,16.9
Chattogram Division,Feni District,Chhagalnaiya,201576,Very Low ,8,5.2
Chattogram Division,Feni District,Daganbhuiyan,271383,Low ,11.7,2.2
Chattogram Division,Feni District,Feni Sadar,599797,Very Low ,9.4,5.6
Chattogram Division,Feni District,Fulgazi,121600,Very Low ,4.1,3.1
Chattogram Division,Feni District,Parashuram,110357,Low ,11.3,7.4
Chattogram Division,Feni District,Sonagazi,285071,Moderate ,15.6,10.3
Chattogram Division,Khagrachhari District,Dighinala,111170,Moderate ,17.9,10.5
Chattogram Division,Khagrachhari District,Guimara,51700,Low ,12.9,7.1
Chattogram Division,Khagrachhari District,Khagrachhari Sadar,129429,Low ,12.9,6
Chattogram Division,Khagrachhari District,Lakkhichhari,26394,Moderate ,20.5,13.6
Chattogram Division,Khagrachhari District,Mahalchhari,47695,Moderate ,16.6,10.1
Chattogram Division,Khagrachhari District,Manikchhari,74971,Moderate ,15,7.9
Chattogram Division,Khagrachhari District,Matiranga,123878,Moderate ,19.4,11.9
Chattogram Division,Khagrachhari District,Panchhari,67200,Low ,14.1,8.3
Chattogram Division,Khagrachhari District,Ramgarh,58367,Low ,14.7,6.7
Chattogram Division,Lakshmipur District,Kamalnagar,213870,High ,22.7,15
Chattogram Division,Lakshmipur District,Lakshmipur Sadar,792380,Low ,10,2.3
Chattogram Division,Lakshmipur District,Raipur,307672,Low ,14.4,7
Chattogram Division,Lakshmipur District,Ramganj,305344,Moderate ,17,2.8
Chattogram Division,Lakshmipur District,Ramgati,275294,High ,25.9,15.1
Chattogram Division,Noakhali District,Begumganj,590796,Very Low ,2.5,1.4
Chattogram Division,Noakhali District,Chatkhil,252207,Very Low ,3.6,3.5
Chattogram Division,Noakhali District,Companiganj,296351,Low ,13.8,2.1
Chattogram Division,Noakhali District,Hatiya,532493,Very Low ,3.9,5.3
Chattogram Division,Noakhali District,Kabirhat,236512,Very Low ,7.2,5.7
Chattogram Division,Noakhali District,Senbag,305673,Very Low ,4.3,5.8
Chattogram Division,Noakhali District,Sonaimuri,357940,Very Low ,6.1,1.6
Chattogram Division,Noakhali District,Subarnachar,352355,Low ,14.2,11.4
Chattogram Division,Noakhali District,Noakhali Sadar,617373,Very Low ,4.8,2.1
Chattogram Division,Rangamati District,Baghaichhari,102413,Moderate ,16.6,9.2
Chattogram Division,Rangamati District,Barkal,47544,Moderate ,15.3,11.5
Chattogram Division,Rangamati District,Kawkhali,63366,Low ,12.5,3.6
Chattogram Division,Rangamati District,Belaichhari,27773,High ,26.3,12.2
Chattogram Division,Rangamati District,Kaptai,51897,Moderate ,16.4,7.3
Chattogram Division,Rangamati District,Jurachhari,25942,Moderate ,15.6,11.9
Chattogram Division,Rangamati District,Langadu,88254,Low ,12.5,13.9
Chattogram Division,Rangamati District,Naniarchar,47947,Low ,12.9,10.2
Chattogram Division,Rangamati District,Rajasthali,25927,Very Low ,9.5,8.8
Chattogram Division,Rangamati District,Rangamati Sadar,135027,Low ,12.4,3.3
Dhaka Division,Dhaka District,Adabar,198174,Low ,9.8,2
Dhaka Division,Dhaka District,Badda,342175,Very Low ,7.4,1.9
Dhaka Division,Dhaka District,Bangshal,141268,Very Low ,4.2,2.6
Dhaka Division,Dhaka District,Bimanbandar,5787,Very Low ,1.4,1
Dhaka Division,Dhaka District,Banani,155737,Low ,11.3,4.1
Dhaka Division,Dhaka District,Cantonment,121394,Very Low ,2.9,1.4
Dhaka Division,Dhaka District,Chawkbazar,103441,Very Low ,7.5,3.1
Dhaka Division,Dhaka District,Dakkhinkhan,373870,Low ,9.8,1.7
Dhaka Division,Dhaka District,Darussalam,193718,Low ,11,5
Dhaka Division,Dhaka District,Demra,264541,Low ,13,2.3
Dhaka Division,Dhaka District,Dhamrai,497575,Moderate ,18.3,3.4
Dhaka Division,Dhaka District,Dhanmondi,86965,Very Low ,1.5,0.9
Dhaka Division,Dhaka District,Dohar,242900,Moderate ,15.6,5.2
Dhaka Division,Dhaka District,Bhasantek,113348,Moderate ,16.2,4.9
Dhaka Division,Dhaka District,Bhatara,281518,Very Low ,4.5,2.3
Dhaka Division,Dhaka District,Gendaria,126731,Very Low ,2.4,1.5
Dhaka Division,Dhaka District,Gulshan,93066,Very Low ,3.2,2
Dhaka Division,Dhaka District,Hatirjheel,72061,Very Low ,5.6,2.9
Dhaka Division,Dhaka District,Hazaribag,187043,Very Low ,6.3,3.8
Dhaka Division,Dhaka District,Jatrabari,452493,Very Low ,9.4,1.5
Dhaka Division,Dhaka District,Kafrul,305702,Very Low ,7.2,3.3
Dhaka Division,Dhaka District,Kadamtali,400295,Very Low ,8.3,1.8
Dhaka Division,Dhaka District,Kalabagan,95247,Very Low ,3.4,1.7
Dhaka Division,Dhaka District,Kamrangichar,352807,Moderate ,19.1,3.3
Dhaka Division,Dhaka District,Khilgaon,358729,Very Low ,6.1,1.9
Dhaka Division,Dhaka District,Khilkhet,157142,Very Low ,7.7,3.8
Dhaka Division,Dhaka District,Keraniganj,953448,Very Low ,8.1,2.1
Dhaka Division,Dhaka District,Kotwali,36413,Very Low ,2.9,1.9
Dhaka Division,Dhaka District,Lalbag,168410,Very Low ,8.9,1.8
Dhaka Division,Dhaka District,Mirpur,500942,Low ,12.6,1.5
Dhaka Division,Dhaka District,Mohammadpur,469673,Very Low ,4.6,1.8
Dhaka Division,Dhaka District,Motijheel,61101,Very Low ,3.6,2.2
Dhaka Division,Dhaka District,Mugda,196074,Very Low ,6.7,4.1
Dhaka Division,Dhaka District,Nawabganj,342963,Moderate ,18.3,3.1
Dhaka Division,Dhaka District,Newmarket,39372,Very Low ,1.7,1
Dhaka Division,Dhaka District,Pallabi,562094,Very Low ,6.6,1.6
Dhaka Division,Dhaka District,Paltan,43063,Very Low ,1,1.1
Dhaka Division,Dhaka District,Ramna,178049,Very Low ,4.4,1.3
Dhaka Division,Dhaka District,Rampura,146398,Very Low ,6.3,2.5
Dhaka Division,Dhaka District,Sabujbag,247294,Very Low ,5.1,2
Dhaka Division,Dhaka District,Rupnagar,168599,Low ,11.3,4.8
Dhaka Division,Dhaka District,Savar,2186852,Very Low ,7.6,1.1
Dhaka Division,Dhaka District,Shahjahanpur,104866,Very Low ,3.6,2.2
Dhaka Division,Dhaka District,Shah Ali,141522,Very Low ,8.2,2.7
Dhaka Division,Dhaka District,Shahbag,31108,Very Low ,1.9,1.2
Dhaka Division,Dhaka District,Shyampur,157327,Very Low ,9.4,4.4
Dhaka Division,Dhaka District,"Sher-E-Bangla
Nagar",131262,Very Low ,2.7,1.4
Dhaka Division,Dhaka District,Sutrapur,70805,Very Low ,2.8,1.9
Dhaka Division,Dhaka District,Tejgaon,101421,Very Low ,6.5,2.9
Dhaka Division,Dhaka District,"Tejgaon Shilpa
Elaka",84440,Low ,9.9,2.5
Dhaka Division,Dhaka District,Turag,243751,Low ,11.7,6.6
Dhaka Division,Dhaka District,Uttara Pashchim,159728,Very Low ,1.1,0.9
Dhaka Division,Dhaka District,Uttara Purba,30309,Very Low ,2.7,1.3
Dhaka Division,Dhaka District,Uttarkhan,121029,Very Low ,8.1,4.4
Dhaka Division,Dhaka District,Wari,112309,Very Low ,3.3,1.2
Dhaka Division,Faridpur District,Alfadanga,117076,High ,24.3,6.8
Dhaka Division,Faridpur District,Bhanga,288007,Very High ,28.5,3.8
Dhaka Division,Faridpur District,Boalmari,263237,High ,27.6,6.3
Dhaka Division,Faridpur District,Char Bhadrasan,69039,High ,26.6,6.2
Dhaka Division,Faridpur District,Faridpur Sadar,540415,High ,27,3.7
Dhaka Division,Faridpur District,Madhukhali,228342,High ,24.4,6.6
Dhaka Division,Faridpur District,Nagarkanda,217717,High ,26.8,8.7
Dhaka Division,Faridpur District,Sadarpur,197185,High ,24.9,4
Dhaka Division,Faridpur District,Saltha,182786,Very High ,31.2,9.3
Dhaka Division,Gazipur District,Basan,248269,Very High ,30.9,8.9
Dhaka Division,Gazipur District,Gachha,371985,Moderate ,15.5,4.5
Dhaka Division,Gazipur District,Gazipur Sadar,326460,Low ,11.3,2.8
Dhaka Division,Gazipur District,Kaliakair,670497,Moderate ,16,3.9
Dhaka Division,Gazipur District,Kaliganj,300548,Moderate ,19.1,5.9
Dhaka Division,Gazipur District,Kapasia,367153,Moderate ,19.4,4.6
Dhaka Division,Gazipur District,Kashimpur,365270,Moderate ,20.9,6.2
Dhaka Division,Gazipur District,Konabari,274149,Very High ,34.8,6.2
Dhaka Division,Gazipur District,Pubail,101250,Very High ,31.1,5.7
Dhaka Division,Gazipur District,Sreepur,807297,Moderate ,17.1,3.2
Dhaka Division,Gazipur District,Tongi Pashchim,292180,Very High ,40.4,4.9
Dhaka Division,Gazipur District,Tongi Purba,422338,Very High ,30,4.9
Dhaka Division,Gazipur District,Joydebpur,435758,Very Low ,9.1,4.4
Dhaka Division,Gopalganj District,Gopalganj Sadar,377396,High ,23.7,6.5
Dhaka Division,Gopalganj District,Kashiani,222582,High ,27.4,3.4
Dhaka Division,Gopalganj District,Kotalipara,239436,Very High ,29.2,8.2
Dhaka Division,Gopalganj District,Muksudpur,301921,High ,24,4.4
Dhaka Division,Gopalganj District,Tungipara,110388,High ,26.7,7.8
Dhaka Division,Kishoreganj District,Austagram,150455,Very High ,40.8,10.9
Dhaka Division,Kishoreganj District,Bajitpur,264987,Very High ,36.3,7.6
Dhaka Division,Kishoreganj District,Bhairab,350749,Very High ,39.6,3.3
Dhaka Division,Kishoreganj District,Hossainpur,199122,Very High ,28.4,7.1
Dhaka Division,Kishoreganj District,Itna,167396,Very High ,45,9.9
Dhaka Division,Kishoreganj District,Karimganj,323638,Very High ,41.7,5.1
Dhaka Division,Kishoreganj District,Katiadi,346608,Very High ,31.6,7.2
Dhaka Division,Kishoreganj District,Kishoreganj Sadar,485082,High ,26.4,4.2
Dhaka Division,Kishoreganj District,Kuliarchar,198422,Very High ,33.5,7.4
Dhaka Division,Kishoreganj District,Mithamain,123910,Very High ,47.4,8.7
Dhaka Division,Kishoreganj District,Nikli,144400,Very High ,47.3,7.6
Dhaka Division,Kishoreganj District,Pakundia,277847,High ,26.5,3.9
Dhaka Division,Kishoreganj District,Tarail,168679,Very High ,36.6,8.4
Dhaka Division,Madaripur District,Dasar,72243,Very High ,63.2,10.6
Dhaka Division,Madaripur District,Kalkini,215564,Very High ,56.3,4.4
Dhaka Division,Madaripur District,Madaripur Sadar,385852,Very High ,50,8
Dhaka Division,Madaripur District,Rajoir,241539,Very High ,56,9
Dhaka Division,Madaripur District,Shibchar,343864,Very High ,55.1,4.7
Dhaka Division,Manikganj District,Daulatpur,166375,Very High ,31.4,8.6
Dhaka Division,Manikganj District,Ghior,159852,Very High ,34.6,3.6
Dhaka Division,Manikganj District,Harirampur,154342,High ,23.8,8.3
Dhaka Division,Manikganj District,Manikganj Sadar,350775,Moderate ,20.9,6.2
Dhaka Division,Manikganj District,Saturia,190219,Moderate ,17.6,3.6
Dhaka Division,Manikganj District,Shibalay,185720,High ,25.6,8.2
Dhaka Division,Manikganj District,Singair,319428,Low ,12.6,3.6
Dhaka Division,Munshiganj District,Gazaria,175861,Very Low ,8,4.2
Dhaka Division,Munshiganj District,Louhajang,171256,Low ,12.8,4.1
Dhaka Division,Munshiganj District,Munshiganj Sadar,417880,Low ,14.2,3
Dhaka Division,Munshiganj District,Sirajdikhan,305545,Low ,10.7,5.1
Dhaka Division,Munshiganj District,Sreenagar,286464,Very Low ,9.1,3.5
Dhaka Division,Munshiganj District,Tongibari,206772,Low ,11.1,2.2
Dhaka Division,Narayanganj District,Araihazar,454760,Moderate ,19.1,5.8
Dhaka Division,Narayanganj District,Sonargaon,522461,Low ,12.2,2.4
Dhaka Division,Narayanganj District,Bandar,399643,Moderate ,17.1,4.6
Dhaka Division,Narayanganj District,Narayanganj Sadar,1691248,Very Low ,8.9,1.6
Dhaka Division,Narayanganj District,Rupganj,672723,Moderate ,21.1,2.2
Dhaka Division,Narsingdi District,Belabo,211270,Very High ,49.5,11.2
Dhaka Division,Narsingdi District,Manohardi,293145,Very High ,40.4,5.6
Dhaka Division,Narsingdi District,Narsingdi Sadar,807445,Very High ,43.1,4.5
Dhaka Division,Narsingdi District,Palash,237799,Very High ,38.3,7.7
Dhaka Division,Narsingdi District,Raipura,602531,Very High ,47.6,4.5
Dhaka Division,Narsingdi District,Shibpur,347500,Very High ,41.4,11.1
Dhaka Division,Rajbari District,Baliakandi,226764,Very High ,40.8,4
Dhaka Division,Rajbari District,Goalanda,127252,Very High ,32.3,10
Dhaka Division,Rajbari District,Kalukhali,170266,High ,21.8,10.4
Dhaka Division,Rajbari District,Pangsha,270222,High ,25.2,4.8
Dhaka Division,Rajbari District,Rajbari Sadar,375169,High ,23,7.4
Dhaka Division,Shariatpur District,Bhedarganj,275042,High ,21.7,4.7
Dhaka Division,Shariatpur District,Damudya,121584,High ,22,9.6
Dhaka Division,Shariatpur District,Gosairhat,172163,Very High ,31.9,9.6
Dhaka Division,Shariatpur District,Naria,256101,High ,21.7,8.1
Dhaka Division,Shariatpur District,Shariatpur Sadar,233540,Very High ,36.2,3.4
Dhaka Division,Shariatpur District,Zajira,213016,Very High ,29.6,8.9
Dhaka Division,Tangail District,Basail,187434,Low ,11.4,4
Dhaka Division,Tangail District,Bhuanpur,214250,Very Low ,7.1,2.5
Dhaka Division,Tangail District,Delduar,215610,Low ,11.8,4.2
Dhaka Division,Tangail District,Dhanbari,185144,Low ,12.1,4.1
Dhaka Division,Tangail District,Ghatail,442113,Low ,11.9,4.2
Dhaka Division,Tangail District,Gopalpur,267817,Moderate ,15,3.8
Dhaka Division,Tangail District,Kalihati,440553,Low ,14,4.8
Dhaka Division,Tangail District,Madhupur,330527,Moderate ,17.3,3.3
Dhaka Division,Tangail District,Mirzapur,462991,Very Low ,8.7,3
Dhaka Division,Tangail District,Nagarpur,316524,Low ,13.5,5.4
Dhaka Division,Tangail District,Sakhipur,315037,Moderate ,18.9,2.7
Dhaka Division,Tangail District,Tangail Sadar,578331,Low ,14.9,4.4
Khulna Division,Bagerhat District,Bagerhat Sadar,282229,Low ,14.3,2.3
Khulna Division,Bagerhat District,Chitalmari,152338,Low ,14.9,6.4
Khulna Division,Bagerhat District,Fakirhat,157097,Low ,11.4,2.8
Khulna Division,Bagerhat District,Kachua,106532,Low ,14.7,5.4
Khulna Division,Bagerhat District,Mollahat,141170,Moderate ,17.1,5.8
Khulna Division,Bagerhat District,Mongla,153932,Very Low ,7.4,2.1
Khulna Division,Bagerhat District,Morelganj,301874,Low ,11.2,3.4
Khulna Division,Bagerhat District,Rampal,168597,Low ,12.6,5.3
Khulna Division,Bagerhat District,Sharankhola,118821,High ,24.3,2.7
Khulna Division,Chuadanga District,Alamdanga,365195,High ,24.8,3.8
Khulna Division,Chuadanga District,Chuadanga Sadar,344072,Moderate ,15.5,2.7
Khulna Division,Chuadanga District,Damurhuda,314172,High ,21.2,6.9
Khulna Division,Chuadanga District,Jibannagar,195597,High ,22.8,4.5
Khulna Division,Jashore District,Abhaynagar,283395,High ,27.2,3.4
Khulna Division,Jashore District,Bagharpara,236314,High ,24.6,6.5
Khulna Division,Jashore District,Chaugachha,246548,Low ,11.8,3.8
Khulna Division,Jashore District,Jhikargachha,327869,High ,26.4,3
Khulna Division,Jashore District,Keshabpur,277655,Very High ,33.4,4.6
Khulna Division,Jashore District,Jashore Sadar,804026,Low ,13.2,2.9
Khulna Division,Jashore District,Manirampur,445492,Moderate ,20.4,2.9
Khulna Division,Jashore District,Sharsha,382940,Moderate ,15.5,3.1
Khulna Division,Jhenaidah District,Harinakundu,216994,High ,21.9,7
Khulna Division,Jhenaidah District,Jhenaidah Sadar,528242,High ,21.7,2.4
Khulna Division,Jhenaidah District,Kaliganj,305392,Low ,14.9,3
Khulna Division,Jhenaidah District,Kotchandpur,155335,Moderate ,16.1,4.7
Khulna Division,Jhenaidah District,Maheshpur,367678,Moderate ,20.3,4.5
Khulna Division,Jhenaidah District,Shailkupa,396074,High ,27.7,4.4
Khulna Division,Khulna District,Batiaghata,226308,Very Low ,9.5,2.8
Khulna Division,Khulna District,Dacope,158167,Low ,12.8,4.9
Khulna Division,Khulna District,Daulatpur,97544,Very Low ,5.2,1.4
Khulna Division,Khulna District,Dumuria,338760,Low ,9.9,2.8
Khulna Division,Khulna District,Dighalia,161129,Very Low ,8.5,2.9
Khulna Division,Khulna District,Khalishpur,150929,Very Low ,5.5,0.7
Khulna Division,Khulna District,Khan Jahan Ali,6229,Very Low ,5.3,2.7
Khulna Division,Khulna District,Khulna Sadar,231396,Very Low ,4.6,0.7
Khulna Division,Khulna District,Koyra,219343,Low ,13.1,6.1
Khulna Division,Khulna District,Paikgachha,284525,Moderate ,17,3.1
Khulna Division,Khulna District,Phultala,144063,Moderate ,15.8,2.1
Khulna Division,Khulna District,Rupsa,204055,Low ,11.8,4.4
Khulna Division,Khulna District,Sonadanga,185025,Very Low ,3.7,0.7
Khulna Division,Khulna District,Terokhada,128096,Low ,10.6,3.8
Khulna Division,Kushtia District,Bheramara,222524,Moderate ,18.2,5.7
Khulna Division,Kushtia District,Daulatpur,479263,High ,23.7,2.9
Khulna Division,Kushtia District,Khoksa,142999,High ,21.6,7.1
Khulna Division,Kushtia District,Kumarkhali,371800,High ,26.6,3.2
Khulna Division,Kushtia District,Kushtia Sadar,543631,Low ,10.2,2.5
Khulna Division,Kushtia District,Mirpur,359031,Low ,11.6,2.4
Khulna Division,Magura District,Magura Sadar,417455,High ,21.3,3.9
Khulna Division,Magura District,Mohammadpur,240505,High ,24.8,8.4
Khulna Division,Magura District,Shalikha,176615,Moderate ,20.4,3.4
Khulna Division,Magura District,Sreepur,182558,High ,26,7.6
Khulna Division,Meherpur District,Gangni,320627,Low ,10.3,2.1
Khulna Division,Meherpur District,Mujibnagar,104180,Very Low ,9.7,2.2
Khulna Division,Meherpur District,Meherpur Sadar,274670,Very Low ,9.3,3.1
Khulna Division,Narail District,Kalia,239764,Moderate ,20.4,2.7
Khulna Division,Narail District,Lohagara,244063,Low ,10.5,2.9
Khulna Division,Narail District,Narail Sadar,291049,Low ,14,6.1
Khulna Division,Satkhira District,Ashashuni,279404,High ,22.4,4.1
Khulna Division,Satkhira District,Debhata,131972,Very Low ,9.5,2.5
Khulna Division,Satkhira District,Kalaroa,259539,Low ,12.7,5.9
Khulna Division,Satkhira District,Kaliganj,302056,Moderate ,17.8,2.9
Khulna Division,Satkhira District,Satkhira Sadar,511808,Low ,13,3
Khulna Division,Satkhira District,Shyamnagar,361034,High ,25.4,3.5
Khulna Division,Satkhira District,Tala,323504,Moderate ,17.2,3.6
